hanzi_trad	hanzi_simp	pinyin	transcr	transc_rus	rus_translation	note	chinese_translation
NONE	德米特罗夫	démǐtèluófū	NONE	NONE	Дмитров-	NONE	NONE
NONE	别尔哥罗德	biéěrgēluódé	NONE	NONE	Белгород-	NONE	NONE
NONE	哈拉巴利	hālābālì	NONE	NONE	Харабали-	NONE	NONE
NONE	苏维埃	sūwéi’āi 	NONE	NONE	Совет	NONE	NONE
NONE	弗罗洛沃	fúluóluòwò	NONE	NONE	Фролово-	NONE	NONE
NONE	扎维京斯克	zāwéijīngsīkè	NONE	NONE	Завитинск-	NONE	NONE
NONE	科罗恰	kēluóqià	NONE	NONE	Короча-	NONE	NONE
NONE	亚历山德罗夫	yàlìshāndéluófū	NONE	NONE	Александров-	NONE	NONE
NONE	格赖沃龙	gélàiwòlóng	NONE	NONE	Грайворон-	NONE	NONE
NONE	卡梅贾克	kǎméijiǎkè	NONE	NONE	Камызяк-	NONE	NONE
NONE	连斯克	liánsīkè	NONE	NONE	Ленск-	NONE	NONE
NONE	切列波韦茨	qiēlièbōwéicí	NONE	NONE	Череповец-	NONE	NONE
NONE	巴赫奇萨赖	bāhèqísàlài	NONE	NONE	Бахчисарай-	NONE	NONE
NONE	维捷格拉	wéijiégélā	NONE	NONE	Вытегра-	NONE	NONE
NONE	加夫里洛夫镇	jiāfūlǐluòfū zhèn	NONE	NONE	Гаврилов Посад-	NONE	NONE
NONE	新奥斯科尔	xīnàosīkē’ěr	NONE	NONE	Новыйй Оскол	NONE	NONE
NONE	布列亚	bùlièyà	NONE	NONE	Бурея-	NONE	NONE
NONE	斯柳江卡	sīliǔjiāngkǎ	NONE	NONE	Слюдянка-	NONE	NONE
NONE	特鲁布切夫斯克	tèlǔbùqièfūsīkè	NONE	NONE	Трубчевск-	NONE	NONE
NONE	谢夫斯克	xièfūsīkè	NONE	NONE	Севск-	NONE	NONE
NONE	米尔内	mǐ’ěrnèi	NONE	NONE	Мирный-	NONE	NONE
NONE	契诃夫	qìhēfū	NONE	NONE	Чехов-	NONE	NONE
NONE	腾达	téngdá	NONE	NONE	Тында-	NONE	NONE
NONE	阿赫图宾斯克	āhètúbīnsīkè	NONE	NONE	Ахтубинск-	NONE	NONE
NONE	基廉斯克	jīliánsīkè	NONE	NONE	Киренский	NONE	NONE
NONE	拉缅斯科耶	lāmiǎnsīkēyē	NONE	NONE	Раменск-	NONE	NONE
NONE	别洛戈尔斯克	biéluògēěrsīkè	NONE	NONE	Белогорск-	NONE	NONE
NONE	普切日	pǔqiērì	NONE	NONE	Пучеж-	NONE	NONE
NONE	科捷利尼科沃	kējiélìníkēwò	NONE	NONE	Котельниково-	NONE	NONE
NONE	苏罗维基诺	sūluówéijīnuò	NONE	NONE	Суровикино-	NONE	NONE
NONE	泰舍特	tàishètè	NONE	NONE	Тайшет-	NONE	NONE
NONE	博古恰尔	bógǔqià’ěr	NONE	NONE	Богучар-	NONE	NONE
NONE	巴拉克拉瓦	bālākèlāwǎ	NONE	NONE	Балаклава-	NONE	NONE
NONE	兹伦卡	zīlúnkǎ	NONE	NONE	Злынка-	NONE	NONE
NONE	苏拉日	sūlārì	NONE	NONE	Сураж-	NONE	NONE
NONE	斯塔罗杜布	sītǎluódùbù	NONE	NONE	Стародуб-	NONE	NONE
NONE	结雅	jiēyǎ	NONE	NONE	Зея-	NONE	NONE
NONE	奎屯	kuítún	NONE	NONE	Куйтун-	NONE	NONE
NONE	卡拉奇	kǎlāqí	NONE	NONE	Калач-	NONE	NONE
NONE	哈罗夫斯克	hāluofūsīkè	NONE	NONE	Харовск-	NONE	NONE
NONE	科利丘吉诺	kēlìqiūjínuò	NONE	NONE	Кольчугино-	NONE	NONE
NONE	伊尔库茨克	yī’ěrkùcìkè	NONE	NONE	Иркутск-	NONE	NONE
NONE	波沃里诺	bōwòlǐnuò	NONE	NONE	Поворино-	NONE	NONE
