label_zh;label_ru;translit
普里莫尔斯克;Приморск;pǔlǐmò’ěrsīkè
谢尔托洛夫;Сертолово;xiè’ěrtuōluòfū
米尔内;Мирный;mǐ’ěrnèi
姆格林;Мглин;mǔgélín
梅吉翁;Мегион;méijíwēng
布古鲁斯兰;Бугуруслан;bùgǔlǔsīlán
下诺夫哥罗德;Нижний Новгород;xià nuòfūgēluódé
库皮诺;Купино;kùpínuò
库里尔斯克;Курильск;kùlǐěrsīkè
库尔洛沃;Курлово;kù’ěrluòwò
梅斯基;Мыски;méisījī
小维舍拉;Малая Вишера;xiǎo wéishèlā
马尔戈别克;Малгобек;mǎ’ěrgēbiékè
克拉斯诺维舍尔斯克;Красновишерск;kèlāsīnuòwéishèěrsīkè
柳季诺沃;Людиново;liǔjìnuòwò
克斯托沃;Кстово;kèsītuōwò
库宾卡;Кубинка;kùbīnkǎ
斯兰齐;Сланцы;sīlánqí
博洛霍沃;Болохово;bóluòhuòwò
梅日戈尔耶;Межгорье;méirìgē’ěryē
巴赫奇萨赖;Бахчисарай;bāhèqísàlài
梅德韦日耶戈尔斯克;Медвежьегорск;méidéwéirìyēgē’ěrsīkè
克拉斯诺斯洛博茨克;Краснослободск;kèlāsīnuòsīluòbócíkè
马林斯基镇;Мариинский Посад;mǎlínsījī zhèn
布琼诺夫斯克;Будённовск;bùqióngnuòfūsīkè
布因斯克;Буинск;bùyīnsīkè
克拉斯诺图林斯克;Краснотурьинск;kèlāsīnuòtúlínsīkè
别洛列琴斯克;Белореченск;biéluòlièqínsīkè
克什特姆;Кыштым;kèshítèmǔ
沃洛索沃;Волосово;wòluòsuǒwò
莫扎伊斯克;Можайск;mòzhāyīsīkè
良托尔;Лянтор;liángtuō’ěr
米尼亚尔;Миньяр;mǐníyà’ěr
米哈伊洛夫;Михайлов;mǐhāyīluòfū
季赫温;Тихвин;jìhèwēn
阿宾斯克;Абинск;ābīnsīkè
阿普歇伦斯克;Апшеронск;āpǔxiēlúnsīkè
拉贝特南吉;Лабытнанги;lābèitènánjí
拉甘;Лагань;lāgān
梅连基;Меленки;méiliánjī
利戈夫;Льгов;lìgēfū
阿纳帕;Анапа;ānàpà
捷姆留克;Темрюк;jiémǔliúkè
格奥尔吉耶夫斯克;Георгиевск;géàoěrjíyēfūsīkè
新罗西斯克;Новороссийск;xīnluóxīsīkè
恰克图;Кяхта;qiàkètú
博罗夫斯克;Боровск;bóluófūsīkè
托斯诺;Тосно;tuōsīnuò
皮卡廖沃;Пикалёво;píkǎliáowò
科列诺夫斯克;Кореновск;kēliènuòfūsīkè
哈德任斯克;Хадыженск;hādérènsīkè
达吉斯坦奥格尼;Дагестанские Огни;dájísītǎn àogéní
喀山;Казань;kāshān
马卡里耶夫;Макарьев;mǎkǎlǐyēfū
马库希诺;Макушино;mǎkùxīnuò
梅日杜列琴斯克;Междуреченск;méirìdùlièqínsīkè
莫日加;Можга;mòrìjiā
米努辛斯克;Минусинск;mǐnǔxīnsīkè
梅列乌兹;Мелеуз;méilièwūzī
门捷列夫斯克;Менделеевск;ménjiélièfūsīkè
克拉萨维诺;Красавино;kèlāsàwéinuò
大卡缅;Большой Камень;dàkǎmiǎn
博罗季诺;Бородино;bóluójìnuò
夏西斯特罗伊;Сясьстрой;xiàxīsītèluóyī
库梅尔套;Кумертау;kùméi’ěrtào
昆古尔;Кунгур;kūngǔ’ěr
科斯托穆克沙;Костомукша;kēsītuōmùkèshā
科捷尔尼基;Котельники;kējié’ěrníjī
科捷利尼科沃;Котельниково;kējiélìníkēwò
克拉斯诺扎沃茨克;Краснозаводск;kèlāsīnuòzāwòcíkè
红兹纳缅斯克;Краснознаменск;hóng zīnàmiǎnsīkè
克拉斯诺兹纳缅斯克;Краснознаменск;kèlāsīnuòzīnàmiǎnsīkè
费奥多西亚;Феодосия;fèi’àoduōxīyà
鄂木斯克;Омск;èmùsīkè
克拉斯诺卡缅斯克;Краснокаменск;kèlāsīnuòkǎmiǎnsīkè
克拉斯诺卡姆斯克;Краснокамск;kèlāsīnuòkǎmǔsīkè
顿河畔罗斯托夫;Ростов на Дону;dùnhé pàn luósītuōfū
梅德诺戈尔斯克;Медногорск;méidénuògēěrsīkè
梅登;Медынь;méidēng
古比雪夫;Куйбышев;gǔbǐxuěfū
库罗夫斯科耶;Куровское;kùluófūsīkēyē
库尔塔梅什;Куртамыш;kù’ěrtǎméishí
库萨;Куса;kùsà
雅尔塔;Ялта;yǎ’ěrtǎ
博尔;Бор;bóěr
叶卡捷琳堡;Екатеринбург;yèkǎjiélínbǎo
克拉斯诺乌菲姆斯克;Красноуфимск;kèlāsīnuòwūfēimǔsīkè
红库特;Красный Кут;hóngkùtè
米哈伊洛夫卡;Михайловка;mǐhāyīluòfūkǎ
车里雅宾斯克;Челябинск;chēlǐyǎbīnsīkè
米哈伊洛夫斯克;Михайловск;mǐhāyīluòfūsīkè
什利谢利堡;Шлиссельбург;shílìxièlìbǎo
切尔诺戈尔斯克;Черногорск;qiē’ěrnuògē’ěrsīkè
蒙切戈尔斯克;Мончегорск;mēngqiēgēěrsīkè
莫罗佐夫斯克;Морозовск;mòluózuǒfūsīkè
莫尔尚斯克;Моршанск;mò’ěrshàngsīkè
纳扎罗沃;Назарово;nàzāluówò
纳兹兰;Назрань;nàzīlán
拉杜什金;Ладушкин;lādùshíjīn
姆岑斯克;Мценск;mǔcénsīkè
梅什金;Мышкин;méishénjīn
加里宁格勒;Калининград;jiālǐnínggélè
占科伊;Джанкой;zhànkēyī
纳霍德卡;Находка;nàhuòdékǎ
拉宾斯克;Лабинск;lābīnsīkè
缅泽林斯克;Мензелинск;miǎnzélínsīkè
梅晓夫斯克;Мещовск;méixiǎofūsīkè
米昆;Микунь;mǐkūn
萨基;Саки;sàjī
彼尔姆;Пермь;bǐěrmǔ
波多利斯克;Подольск;bōduōlìsīkè
穆拉希;Мураши;mùlāxī
克雷姆斯克;Крымск;kèléimǔsīkè
库尔加宁斯克;Курганинск;kù’ěrjiāníngsīkè
克拉斯诺乌拉尔斯克;Красноуральск;kèlāsīnuòwūláěrsīkè
库列巴基;Кулебаки;kùlièbājī
上萨尔达;Верхняя Салда;shàng sà’ěrdá
上图拉;Верхняя Тура;shàng túlā
韦利日;Велиж;wéilìrì
韦利斯克;Вельск;wéilìsīkè
上扬斯克;Верхоянск;shàngyángsīkè
波赫维斯特涅沃;Похвистнево;bōhèwéisītènièwò
拉伊舍沃;Лаишево;lāyīshèwò
韦西耶贡斯克;Весьегонск;wéixīyēgòngsīkè
辛菲罗波尔;Симферополь;xīnfēiluóbō’ěr
鲍里索格列布斯克;Борисоглебск;bàolǐsuǒ gēlièbùsīkè
莫萨利斯克;Мосальск;mòsàlìsīkè
莫斯科夫斯基;Московский;mòsīkēfūsījī
穆拉夫连科;Муравленко;mùlāfūliánkē
摩尔曼斯克;Мурманск;mó’ěrmànsīkè
鲍里索夫;Борисов;bàolǐsuǒfū
苏兹达尔;Суздаль;sūzīdá’ěr
克拉斯诺佩列科普斯克;Красноперекопск;kèlāsīnuò pèilièkēpǔsīkè
瓦尔代;Валдай;wǎ’ěrdài
瓦卢伊基;Валуйки;wǎlúyījī
托木斯克;Томск;tuōmùsīkè
科洛姆纳;Коломна;kēluòmǔnà
库什瓦;Кушва;kùshíwǎ
塞兹兰;Сызрань;sāizīlán
上塔吉尔;Верхний Тагил;shàngtǎjí’ěr
上乌法列伊;Верхний Уфалей;shàng wūfǎlièyī
纳罗-福明斯克;Наро Фоминск;nàluó fúmíngsīkè
纳尔特卡拉;Нарткала;nà’ěrtèkǎlā
涅韦尔;Невель;nièwéi’ěr
韦尼奥夫;Венёв;wéiní’àofū
格连吉克;Геленджик;gēliánjíkè
古利克维奇;Гулькевичи;gǔlìkèwéiqí
上佩什马;Верхняя Пышма;shàng pèishímǎ
索契;Сочи;suǒqì
阿尔汉格尔斯克;Архангельск;ā’ěrhàngé’ěrsīkè
维德诺耶;Видное;wéidénuòyé
米列罗沃;Миллерово;mǐlièluówò
矿水城;Минеральные Воды;kuàngshuǐchéng
维尔霍图里耶;Верхотурье;wéiěrhuòtúlǐyé
古杰尔梅斯;Гудермес;gǔjié’ěrméisī
古科沃;Гуково;gǔkēwò
维霍列夫卡;Вихоревка;wéihuòlièfūkǎ
维丘加;Вичуга;wéiqiūjiā
沃尔戈列琴斯克;Волгореченск;wò’ěrgēlièqínsīkè
纳里马诺夫;Нариманов;nàlǐmǎnuòfū
切列波韦茨;Череповец;qiēlièbōwéicí
维亚泽姆斯基;Вяземский;wéiyàzémǔsījī
古西诺奥泽尔斯克;Гусиноозёрск;gǔxīnuò àozé’ěrsīkè
格赖沃龙;Грайворон;gélàiwòlóng
格列米亚钦斯克;Гремячинск;gélièmǐyàqīnsīkè
韦列夏吉诺;Верещагино;wéilièxiàjínuò
韦列亚;Верея;wéilièyà
上乌拉尔斯克;Верхнеуральск;shàng wūlá’ěrsīkè
波罗奈斯克;Поронайск;bōluónàisīkè
谢列霍夫;Шелехов;xièlièhuòfū
维柳钦斯克;Вилючинск;wéiliǔqīnsīkè
陶里亚蒂;Тольятти;táolǐyàdì
波雷萨耶沃;Полысаево;bōléisàyēwò
波利亚尔内耶佐里;Полярные Зори;pōlìyà’ěrnèiyē zuǒlǐ
波列斯克;Полесск;bōlièsīkè
纳瓦希诺;Навашино;nàwǎxīnuò
纳沃洛基;Наволоки;nàwòluòjī
加夫里洛夫-亚姆;Гаврилов Ям;jiāfūlǐluòfū yàmǔ
加加林;Гагарин;jiājialín
苏尔古特;Сургут;sū’ěrgǔtè
纳里扬马尔;Нарьян Мар;nàlǐyángmǎ’ěr
杰多夫斯克;Дедовск;jiéduōfūsīkè
杰米多夫;Демидов;jiémǐduōfū
达尔马托沃;Далматово;dá’ěrmǎtuōwò
伊曼;Дальнереченск;yīmàn
波利亚尔内;Полярный;pōlìyàěrnèi
普拉夫金斯克;Правдинск;pǔlāfūjīnsīkè
普里沃尔日斯克;Приволжск;pǔlǐwò’ěrrìsīkè
维柳伊斯克;Вилюйск;wéiliǔyīsīkè
波列夫斯科伊;Полевской;bōlièfūsīkēyī
特维尔;Тверь;tèwéiěr
拉缅斯科耶;Раменское;lāmiǎnsīkēyē
涅韦尔斯克;Невельск;nièwéi’ěrsīkè
波切普;Почеп;bōqiēpǔ
波奇诺克;Починок;bōjīnuòkè
沃斯克列先斯克;Воскресенск;wòsīkèlièxiānsīkè
波舍霍尼耶;Пошехонье;bōshèhuòníyē
斯柳江卡;Слюдянка;sīliǔjiāngkǎ
维列伊卡;Вилейка;wéilièyīkǎ
克拉斯诺亚尔斯克;Красноярск;kèlāsīnuòyàěrsīkè
叶夫帕托里亚;Евпатория;yèfūpàtuōlĭyà
雅罗斯拉夫尔;Ярославль;yǎluósīlāfū’ěr
列别姜;Лебедянь;lièbiéjiāng
多莫杰多沃;Домодедово;duōmòjiéduōwò
维亚茨基耶波利亚内;Вятские Поляны;wéiyàcíjīyē pōlìyànèi
加夫里洛夫镇;Гаврилов Посад;jiāfūlǐluòfū zhèn
格里卓维次;Грязовец;gélǐzhuówéicì
梅季希;Мытищи;méijìxī
沃利斯克;Вольск;wòlìsīkè
维克萨;Выкса;wéikèsà
古巴哈;Губаха;gǔbāhā
顿斯科伊;Донской;dùnsīkēyī
季米特洛夫斯克;Дмитровск;jìmǐtèluòfūsīkè
德诺;Дно;dénuò
维索科夫斯克;Высоковск;wéisuǒkēfūsīkè
季戈拉;Дигора;jìgēlā
季米特洛夫格勒;Димитровград;jìmǐtèluòfūgélè
古布金;Губкин;gǔbùjīn
古布金斯基;Губкинский;gǔbùjīnsījī
沃特金斯克;Воткинск;wòtèjīnsīkè
格多夫;Гдов;géduōfū
鲁扎耶夫卡;Рузаевка;lǔzāyēfūkǎ
雷宾斯克;Рыбинск;léibīnsīkè
兰格帕斯;Лангепас;lángépàsī
拉赫坚波希亚;Лахденпохья;lāhèjiānbōxīyà
丹尼洛夫;Данилов;dānníluòfū
丹科夫;Данков;dānkēfū
瑟克特夫卡尔;Сыктывкар;sèkètèfūkǎěr
格拉佐夫;Глазов;gélāzuǒfū
雷布诺耶;Рыбное;léibùnuòyé
雷利斯克;Рыльск;léilìsīkè
杰斯诺戈尔斯克;Десногорск;jiésīnuògēěrsīkè
加吉耶沃;Гаджиево;jiājíyēwò
加利奇;Галич;jiālìqí
戈尔巴托夫;Горбатов;gē’ěrbātuōfū
戈尔诺扎沃茨克;Горнозаводск;gēěrnuòzāwòcíkè
大诺夫哥罗德;Великий Новгород;dà nuòfūgēluódé
罗沙利;Рошаль;luóshālì
勒季谢沃;Ртищево;lèjìxièwò
斯特列热沃伊;Стрежевой;sītèlièrèwòyī
普罗列塔尔斯克;Пролетарск;pǔluóliètǎěrsīkè
普罗特维诺;Протвино;pǔluótèwéinuò
普罗赫拉德内;Прохладный;pǔluóhèlādénèi
沃尔日斯克;Волжск;wò’ěrrìsīkè
武克特尔;Вуктыл;wǔkètè’ěr
沃洛达尔斯克;Володарск;wòluòdáěrsīkè
捷尔任斯基;Дзержинский;jié’ěrrènsījī
季夫诺戈尔斯克;Дивногорск;jìfūnuògē’ěrsīkè
涅维扬斯克;Невьянск;nièwéiyángsīkè
波克罗夫;Покров;bōkèluófū
多布良卡;Добрянка;duōbùliángkǎ
佩蒂亚赫;Пыть Ях;pèidì yàhè
拉杜日内;Радужный;lādùrìnèi
托季马;Тотьма;tuōjìmǎ
波沃里诺;Поворино;bōwòlǐnuò
波卡奇;Покачи;bōkǎqí
滨海阿赫塔尔斯克;Приморско Ахтарск;bīnhǎi āhètǎ’ěrsīkè
梁赞;Рязань;liángzàn
戈利齐诺;Голицыно;gēlìqínuò
布良斯克;Брянск;bùliángsīkè
奥廖尔;Орёл;àoliáo’ěr
普斯托什卡;Пустошка;pǔsītuōshíkǎ
普切日;Пучеж;pǔqiērì
普希金诺;Пушкино;pǔxījīnnuò
戈尔尼亚克;Горняк;gē’ěrníyàkè
戈罗杰茨;Городец;gēluójiécí
戈罗季谢;Городище;gēluójìxiè
普希诺;Пущино;pǔxīnuò
佩塔洛沃;Пыталово;pèitǎluòwò
戈罗多维科夫斯克;Городовиковск;gēluóduōwéikēfūsīkè
戈罗霍韦茨;Гороховец;gēluóhuòwéicí
罗索希;Россошь;luósuoxī
列夫达;Ревда;lièfūdá
列乌托夫;Реутов;lièwūtuōfū
谢罗夫;Серов;xièluófú
罗斯托夫;Ростов;luósītuōfū
波克罗夫斯克;Покровск;bōkèluófūsīkè
卡卢加;Калуга;kǎlújiā
库尔斯克;Курск;kù’ěrsīkè
普加乔夫;Пугачёв;pǔjiāqiáofū
普多日;Пудож;pǔduōrì
鲁布佐夫斯克;Рубцовск;lǔbùzuǒfūsīkè
赖奇欣斯克;Райчихинск;làiqíxīnsīkè
沙茨克;Шацк;shācíkè
萨拉托夫;Саратов;sàlātuōfū
格罗德诺;Гродно;géluódénuò
埃利斯塔;Элиста;āilìsītǎ
北贝加尔斯克;Северобайкальск;běibèijiā’ěrsīkè
杜博夫卡;Дубовка;dùbófūkǎ
沃尔斯马;Ворсма;wò’ěrsīmǎ
卡拉巴诺沃;Карабаново;kǎlābānuòwò
罗德尼基;Родники;luódéníjī
叶姆瓦;Емва;yèmǔwǎ
叶尼塞斯克;Енисейск;yènísàisīkè
勒热夫;Ржев;lèrèfū
拉斯卡佐沃;Рассказово;lāsīkǎzuǒwò
鲁德尼亚;Рудня;lǔdéníyà
坦波夫;Тамбов;tǎnbōfū
利佩茨克;Липецк;lìpèicíkè
罗斯拉夫尔;Рославль;luósīlāfū’ěr
沃罗诺沃;Вороново;wòluònuòwò
马哈奇卡拉;Махачкала;mǎhāqíkǎlā
杜金卡;Дудинка;dùjīnkǎ
杜霍夫希纳;Духовщина;dùhuòfūxīnà
久尔秋利;Дюртюли;jiǔ’ěrqiūlì
阿斯特拉罕;Астрахань;āsītèlāhǎn
萨莱尔;Салаир;sàlái’ěr
克拉斯诺达尔;Краснодар;kèlāsīnuòdá’ěr
萨福诺沃;Сафоново;sàfúnuòwò
萨亚诺戈尔斯克;Саяногорск;sàyànuògēěrsīkè
萨彦斯克;Саянск;sàyànsīkè
多尔戈普鲁德内;Долгопрудный;duōěrgēpǔlǔdénèi
多林斯克;Долинск;duōlínsīkè
阿卢什塔;Алушта;ālúshítǎ
北德文斯克;Северодвинск;běidéwénsīkè
萨利斯克;Сальск;sàlìsīkè
扎卡缅斯克;Закаменск;zākǎmiǎnsīkè
扎沃尔日斯克;Заволжск;zāwò’ěrrìsīkè
扎沃尔日耶;Заволжье;zāwò’ěrrìyē
别尔哥罗德;Белгород;biéěrgēluódé
图拉;Тула;túlā
萨罗夫;Саров;sàluófú
萨索沃;Сасово;sàsuǒwò
萨特卡;Сатка;sàtèkǎ
斯韦特洛格勒;Светлоград;sīwéitèluògélè
斯维尔斯克;Свирск;sīwéi’ěrsīkè
迈科普;Майкоп;màikēpǔ
谢利措;Сельцо;xièlìcuò
谢苗诺夫;Семёнов;xièmiáonuòfū
谢米卡拉科尔斯克;Семикаракорск;xièmǐkǎlākēěrsīkè
茹科夫;Жуков;rúkēfū
茹科夫卡;Жуковка;rúkēfūkǎ
斯塔夫罗波尔;Ставрополь;sītǎfūluóbōěr
扎东斯克;Задонск;zādōngsīkè
热列兹诺哥尔斯克-伊利姆斯基;Железногорск Илимский;rèlièzīnuògē’ěrsīkè yīlìmǔsījī
叶先图基;Ессентуки;yèxiāntújī
切博克萨雷;Чебоксары;qiēbókèsàléi
马加斯;Магас;mǎjiāsī
纳尔奇克;Нальчик;nàěrqíkè
扎维京斯克;Завитинск;zāwéijīngsīkè
扎沃多乌科夫斯克;Заводоуковск;zāwòduōwūkēfūsīkè
叶尔绍夫;Ершов;yè’ěrshàofū
格罗兹尼;Грозный;géluózīní
多罗戈布日;Дорогобуж;duōluógēbùrì
斯韦特洛戈尔斯克;Светлогорск;sīwéitèluògē’ěrsīkè
萨兰斯克;Саранск;sàlánsīkè
基洛夫;Киров;jīluòfū
舍别基诺;Шебекино;shěbiéjīnuò
新奥斯科尔;Новый Оскол;xīn àosīkē’ěr
佳季科沃;Дятьково;jiājìkēwò
叶戈里耶夫斯克;Егорьевск;yègēlǐyēfūsīkè
叶伊斯克;Ейск;yèyīsīkè
扎波利亚尔内;Заполярный;zāpōlìyàěrnèi
日尔诺夫斯克;Жирновск;rì’ěrnuòfūsīkè
扎奥焦尔斯克;Заозёрск;zāàojiāoěrsīkè
西德维纳;Западная Двина;xī déwéinà
泽列诺格拉茨克;Зеленоградск;zéliènuògélācíkè
弗拉季高加索;Владикавказ;fúlājìgāojiāsuǒ
北莫尔斯克;Североморск;běimò’ěrsīkè
北乌拉尔斯克;Североуральск;běi wūlá’ěrsīkè
库尔恰托夫;Курчатов;kù’ěrqiàtuōfū
谢夫斯克;Севск;xièfūsīkè
谢格扎;Сегежа;xiègézhā
切尔克斯克;Черкесск;qiēěrkèsīkè
先吉列伊;Сенгилей;xiānjílièyī
绥拉菲莫维奇;Серафимович;suílāfēimòwéiqí
谢尔加奇;Сергач;xiè’ěrjiāqí
乌斯季杰古塔;Усть Джегута;wūsījì jiégǔtǎ
乌斯季伊利姆斯克;Усть Илимск;wūsījì yīlìmǔsīkè
约什卡尔奥拉;Йошкар Ола;yuēshíkǎ’ěr’àolā
奔萨;Пенза;bēnsà
伊热夫斯克;Ижевск;yīrèfūsīkè
德列兹纳;Дрезна;délièzīnà
茹科夫斯基;Жуковский;rúkēfūsījī
扎因斯克;Заинск;zāyīnsīkè
奥伦堡;Оренбург;àolúnbǎo
热尔杰夫卡;Жердевка;rè’ěrjiéfūkǎ
谢尔多布斯克;Сердобск;xièěrduōbùsīkè
谢尔普霍夫;Серпухов;xièěrpǔhuòfū
科罗恰;Короча;kēluóqià
扎奥焦尔内;Заозёрный;zā’àojiāo’ěrnèi
乌里扬诺夫斯克;Ульяновск;wūlǐyángnuòfūsīkè
苏维埃茨克;Советск;sūwéi’āicíkè
奥洛涅茨;Олонец;àoluòniècí
莫兹多克;Моздок;mòzīduōkè
叶拉布加;Елабуга;yèlābùjiā
埃利佐沃;Елизово;āilìzuǒwò
叶曼热林斯克;Еманжелинск;yèmànrèlínsīkè
奥尔斯克;Орск;àoěrsīkè
维捷布斯克;Витебск;wéijiébùsīkè
扎赖斯克;Зарайск;zālàisīkè
斯科沃罗季诺;Сковородино;sīkēwòluōjìnuò
乌恰雷;Учалы;wūqiàléi
乌亚尔;Уяр;wūyà’ěr
谢别日;Себеж;xièbiérì
斯莫尔贡;Сморгонь;sīmòěrgòng
莫斯特;Мосты;mòsītè
奥博扬;Обоянь;àobóyáng
叶夫列莫夫;Ефремов;yèfūlièmòfū
热列兹诺沃德斯克;Железноводск;rèlièzīnuòwòdésīkè
切尔尼亚霍夫斯克;Черняховск;qiè’ěrníyàhuòfūsīkè
尼亚泽彼得罗夫斯克;Нязепетровск;níyàzébǐdéluófūsīkè
沃洛科拉姆斯克;Волоколамск;wòluòkēlāmǔsīkè
斯科平;Скопин;sīkēpíng
斯拉夫戈罗德;Славгород;sīlāfūgēluódé
乌斯秋日纳;Устюжна;wūsīqiūrìnà
托罗佩茨;Торопец;tuōluōpèicí
捷尔任斯克;Дзержинск;jié’ěrrènsīkè
沃尔昌斯克;Волчанск;wòěrchāngsīkè
乌斯季-卡塔夫;Усть Катав;wūsījì kǎtǎfū
乌斯季库特;Усть Кут;wūsījì kùtè
乌斯季-拉宾斯克;Усть Лабинск;wūsījì lābīnsīkè
下塔吉尔;Нижний Тагил;xià tǎjí’ěr
伏尔加斯基;Волжский;fú’ěrjiāsījī
马格尼托哥尔斯克;Магнитогорск;mǎgénítuōgēěrsīkè
福基诺;Фокино;fújīnuò
哈罗夫斯克;Харовск;hāluofūsīkè
赫瓦伦斯克;Хвалынск;hèwǎlúnsīkè
福罗斯;Форос;fúluósī
西伯利亚乌索利耶;Усолье Сибирское;xībólìyà wūsuǒlìyé
苏贾;Суджа;sūjiǎ
卡马河畔切尔尼;Набережные Челны;kǎmǎhé pàn qiēěrní
法捷日;Фатеж;fǎjiérì
弗罗洛沃;Фролово;fúluóluòwò
晓尔基诺;Щёлкино;xiǎo’ěrjīnuò
佳特洛沃;Дятлово;jiātèluòwò
新库兹涅茨克;Новокузнецк;xīn kùzīniècíkè
伊兰斯基;Иланский;yīlánsījī
齐维利斯克;Цивильск;qíwéilìsīkè
齐姆良斯克;Цимлянск;qímǔliángsīkè
阿格雷兹;Агрыз;āgēléizī
阿兹纳卡耶沃;Азнакаево;āzīnàkǎyēwò
霍尔姆;Холм;huò’ěrmǔ
霍季科沃;Хотьково;huòjìkēwò
叶利尼亚;Ельня;yèlìníyà
顿河畔卡拉奇;Калач на Дону;dùnhépàn kǎlāqí
阿迪格斯克;Адыгейск;ādígésīkè
阿列伊斯克;Алейск;ālièyīsīkè
别洛库里哈;Белокуриха;biéluòkùlǐhā
弗里亚济诺;Фрязино;fúlǐyàjìnuò
富尔马诺夫;Фурманов;fù’ěrmǎnuòfū
哈拉巴利;Харабали;hālābālì
库济米奇;Кузьмичи;kùjìmǐqí
安德;Анд-;āndé
阿卜杜利诺;Абдулино;àbùdùlìnuò
阿吉代尔;Агидель;ājídài’ěr
亚速;Азов;yàsù
阿克多武拉克;Ак Довурак;ākèduōwǔlākè
阿巴扎;Абаза;ābāzā
比斯克;Бийск;bǐsīkè
阿尔扎马斯;Арзамас;ā’ěrzāmǎsī
阿尔卡达克;Аркадак;ā’ěrkǎdákè
阿克赛;Аксай;ākèsài
阿拉吉尔;Алагир;ālājí’ěr
德米特罗夫;Дмитров;démǐtèluófū
希姆基;Химки;xīmǔjī
科克捷别利;Коктебель;kēkèjiébiélì
阿列克谢耶夫卡;Алексеевка;ālièkèxièyēfūkǎ
阿列克辛;Алексин;ālièkèxīn
切列帕诺沃;Черепаново;qiēlièpànuòwò
沙里亚;Шарья;shālǐyà
阿尔达托夫;Ардатов;ā’ěrdátuōfū
下瓦尔托夫斯克;Нижневартовск;xià wǎěrtuōfūsīkè
阿尔乔莫夫斯克;Артёмовск;ā’ěrqiáomòfūsīkè
巴巴耶沃;Бабаево;bābāyēwò
舒梅尔利亚;Шумерля;shūméi’ěrlìyà
巴布什金;Бабушкин;bābùshíjīn
巴夫雷;Бавлы;bāfūléi
阿拉帕耶夫斯克;Алапаевск;ālāpàyēfūsīkè
阿尔乔姆;Артём;ā’ěrqiáomǔ
切尔诺戈洛夫卡;Черноголовка;qiēěrnuògēluòfūkǎ
契诃夫;Чехов;qìhēfū
奇斯托波尔;Чистополь;jīsītuōbō’ěr
沙胡尼亚;Шахунья;shāhúníyà
沙图拉;Шатура;shātúlā
沙赫特;Шахты;shāhètè
阿尔扎迈;Алзамай;ā’ěrzāmài
亚历山德罗夫斯克;Александровск-;yàlìshāndéluófūsīkè
尼基塔;Никита;níjītǎ
阿普雷列夫卡;Апрелевка;āpǔléilièfūkǎ
阿拉米尔;Арамиль;ālāmǐ’ěr
沙戈纳尔;Шагонар;shāgēnà’ěr
沙德林斯克;Шадринск;shādélínsīkè
沙里;Шали;shālǐ
亚历山德罗夫;Александров;yàlìshāndéluófū
巴格拉季奥诺夫斯克;Багратионовск;bāgélājì’àonuòfūsīkè
贝加尔斯克;Байкальск;bèijiā’ěrsīkè
切卡林;Чекалин;qièkǎlín
切尔登;Чердынь;qiē’ěrdēng
切列姆霍沃;Черемхово;qiēlièmǔhuòwò
希马诺夫斯克;Шимановск;xīmǎnuòfūsīkè
希哈内;Шиханы;xīhānèi
巴拉赫纳;Балахна;bālāhènà
下卡姆斯克;Нижнекамск;xià kǎmǔsīkè
拜马克;Баймак;bàimǎkè
白卡利特瓦;Белая Калитва;bái kǎlìtèwǎ
白霍卢尼察;Белая Холуница;báihuòlúníchá
尤戈尔斯克;Югорск;yóugē’ěrsīkè
尤扎;Южа;yóuzhā
涅留恩格里;Нерюнгри;nièliú’ēn’gēlǐ
巴拉巴诺沃;Балабаново;bālābānuòwò
恰丹;Чадан;qiàdān
柴可夫斯基;Чайковский;cháikěfūsījī
阿沙;Аша;āshā
恰普雷金;Чаплыгин;qiàpǔléijīn
切格姆;Чегем;qiēgémǔ
巴卡尔;Бакал;bākǎ’ěr
阿尔乔莫夫斯基;Артёмовский;āěrqiáomòfūsījī
阿斯别斯特;Асбест;āsībiésītè
埃列克特罗乌格利;Электроугли;āilièkètèluówūgélì
恩格斯城;Энгельс;ēngésīchéng
新乌津斯克;Новоузенск;xīnwūjīnsīkè
新乌里扬诺夫斯克;Новоульяновск;xīn wūlǐyángnuòfūsīkè
新乌拉尔斯克;Новоуральск;xīn wūlá’ěrsīkè
恰帕耶夫斯克;Чапаевск;qiàpàyēfūsīkè
阿赫图宾斯克;Ахтубинск;āhètúbīnsīkè
阿钦斯克;Ачинск;āqīnsīkè
巴拉绍夫;Балашов;bālāshàofū
巴列伊;Балей;bālièyī
丘索沃伊;Чусовой;qiūsuǒwòyī
丘赫洛马;Чухлома;qiūhèluòmǎ
下谢尔吉;Нижние Серги;xià xiè’ěrjí
下洛莫夫;Нижний Ломов;xià luòmòfū
申库尔斯克;Шенкурск;shēnkù’ěrsīkè
亚纳乌尔;Янаул;yànàwū’ěr
亚兰斯克;Яранск;yàlánsīkè
下萨尔达;Нижняя Салда;xià sà’ěrdá
下图拉;Нижняя Тура;xià túlā
尼古拉耶夫斯克;Николаевск;nígǔlāyēfūsīkè
别热茨克;Бежецк;biérècíkè
契卡洛夫斯克;Чкаловск;qìkǎluòfūsīkè
丘多沃;Чудово;qiūduōwò
奥布卢奇耶;Облучье;àobùlúqíyē
奥布宁斯克;Обнинск;àobùníngsīkè
尼科利斯克;Никольск;níkēlìsīkè
新安宁斯基;Новоаннинский;xīn’ānníngsījī
