label_zh;label_ru;translit
拉巴;Лаба;lāba
舒亚;Шуя;shūyà
米阿斯;Миасс;mǐāsī
萨马拉;Самара;sàmǎlā
别拉亚;Белая;biélāyà
阿尔东;Ардон;ā’ěrdōng
霍尔;Хор;huò’ěr
尤拉;Юла;yóulā
布祖卢克;Бузулук;bùzǔlúkè
扎扎;Заза;zhāzhā
巴克桑;Баксан;bākèsāng
丘赫洛马;Чухлома-;qiūhèluòmǎ
克拉斯诺耶;Красное;kèlāsīnuòyē
瓦尔代;Валдай-;wǎ’ěrdài
米亚杰尔;Мядель;mǐyàjiéěr
乌多姆利亚;Удомля;wūduōmǔlìyà
巴尔古津;Баргузин;bāěrgǔjīn
图拉;Тура;túlā
坎;Кан;kǎn
塔拉;Тара;tǎlā
尼布楚;Нерча;níbùchǔ
卡拉苏克;Карасук;kǎlāsūkè
卡通;Катунь;kǎtōng 
布列亚;Бурея;bùlièyà
塔塔;Татта;tǎtǎ
哈尔科夫;Харьков;hā’ěrkēfū
沃罗涅日;Воронеж;wòluónièrì
普拉;Пра;pǔlā
阿拉特里;Алатырь;àlatèlǐ
沃尔马;Волма;wù’ěrmǎ
托斯诺;Тосна;tuōsīnuò
卡斯;Кас;kǎ sī
瓦盖;Вагай;wǎ gài
蒂萨河;Тисса;dìsà hé
梅拉;Мера;méilā
比亚;Бия;bǐyà
科斯特罗马;Кострома;kēsītèluómǎ
博尔贾;Борзя;bó’ěrjiǎ
雄;Сюнь;xióng
涅亚;Нея;nièyà
因萨尔;Инсар;yīnsà’ěr
普肖尔;Псёл;pǔxiào’ěr
谢廖扎;Серёжа;xièliàozhà
吉达;Джида;jídá
阿巴;Аба;ābā
古西;Гусь;gǔxī
科拉;Кола;kēlā
卢扎;Луза;lúzā
巴雷什;Барыш;bāléishí
科恩;Кемь;kē’ēn
苏达;Суда;sūdá
卡拉;Кара;kǎlā
厄;Ы;è
奥廖尔;Олёр;àoliáo’ěr
斯维斯洛奇;Свислочь;sīwéisīluòqí
伊斯特拉;Истра;yīsītèlā
维亚济马;Вязьма;wéiyàjìmǎ
利瓦;Моства;lìwǎ
梅拉;Мыла;méilā
萨尔;Сал;sà’ěr
乌利亚;Улья;wūlìyà
捷里别尔卡;Териберка;jiélǐbié’ěrkǎ
帕拉;Пара;pàlā
日兹德拉;Жиздра;rìzīdélā
苏多格达;Судогда;sūduōgédá
索奇;Сочи;suǒqí
塔吉尔;Тагил;tǎjí’ěr
列日;Реж;lièrì
密尔;Мир;mìěr
沙赫乔尔斯克;Шахтёрск;shāhèqiáo’ěrsīkè
基日;Кижи;jīrì
拉拉;Лала;lālā
维捷格拉;Вытегра;wéijiégélā
博代博;Бодайбо;bódàibó
布尔;Бур;bùěr
捷别尔达;Теберда;jiébié’ěrdá
乌斯;Ус;wūsī
艾达尔;Айдар;yìdáěr
卡缅卡;Каменка;kǎmiǎnkǎ
克拉斯诺耶;Красносельское;kèlāsīnuòyē
克拉斯诺耶;Красненское;kèlāsīnuòyē
阿拉尔;Аларь;ālāěr
伊尔库茨克;Иркутск-;yī’ěrkùcìkè
弗拉基米尔;Владимир-;fúlājīmǐ’ěr
阿列克谢耶夫卡;Алексеевка;ālièkèxièyēfūkǎ
卡缅卡;Каменка;kǎmiǎnkǎ
亚历山德罗夫斯克;Александровск;yàlìshāndéluófūsīkè
亚历山德罗夫卡;Александровка;yàlìshāndéluófūkǎ
库皮诺;Купино;kùpínuò
沃罗诺沃;Вороново-;wòluònuòwò
扎列西耶;Залесье-;zālièxīyē
尼古拉;Никола-;nígǔlā
乌斯秋日纳;Устюжена-;wūsīqiūrìnà
克拉斯诺耶;Краснянское;kèlāsīnuòyē
科比;Кобь-;kēbǐ
科兹洛夫卡;Козловка-;kēzīluòfūkǎ
别列兹尼基;Березники-;biélièzīníjì
别列佐夫卡;Березовка-;biélièzuǒfūkǎ
古兰;Гуран-;gǔlán
佩图什基;Петушки-;pèitúshíjī
戈罗季谢;Городище-;gēluójìxiè
克拉萨维诺;Красавино-;kèlāsàwéinuò
尼科利斯克;Никольск-;níkēlìsīkè
