id_,wiki_id,label_zh,label_ru,xinhua,country,type,levenstein_abs,levenstein_norm,jaccard
34621,4106549,大奥梅利亚尼克,Великий Омеляник,韦利基·奥梅利亚尼克,Ukraine,settlement,4,0.4,0.5454545454545454
34622,4106551,大奥斯特罗若克,Великий Острожок,韦利基·奥斯特罗若克,Ukraine,settlement,4,0.4,0.5454545454545454
34623,4106553,大波柳希夫,Великий Полюхов,韦利基·波柳霍夫,Ukraine,settlement,5,0.625,0.3
34624,4106554,大普拉武京,Великий Правутин,韦利基·普拉武京,Ukraine,settlement,4,0.5,0.4444444444444444
34625,4106556,大波尔西克,Великий Порск,韦利基·波尔斯克,Ukraine,settlement,5,0.625,0.3
34626,4106558,大罗任,Великий Рожин,韦利基·罗任,Ukraine,settlement,4,0.6666666666666666,0.2857142857142857
34627,3736537,琼加尔,Чонгар,乔恩加尔,Ukraine,settlement,2,0.5,0.4
34628,3740345,米利亚季奇,Милятичи,米利亚季奇,Ukraine,settlement,0,0.0,1.0
34629,3740372,涅丹奇奇,Неданчичи,涅丹奇奇,Ukraine,settlement,0,0.0,1.0
34630,3740394,切希夫,Чехов,切霍夫,Ukraine,settlement,1,0.3333333333333333,0.5
34631,3807371,亚谢尼夫齐,Ясеновцы,亚谢诺夫齐,Ukraine,settlement,1,0.2,0.6666666666666666
34632,3846073,斯坦基夫,Станков,斯坦科夫,Ukraine,settlement,1,0.25,0.6
34633,3847367,纳古叶夫维奇,Нагуевичи,纳古耶维奇,Ukraine,settlement,2,0.3333333333333333,0.5714285714285714
34634,4079884,巴希夫,Бахов,巴霍夫,Ukraine,settlement,1,0.3333333333333333,0.5
34635,4079944,巴赫京,Бахтин,巴赫京,Ukraine,settlement,0,0.0,1.0
34636,4079945,巴赫京,Бахтин,巴赫京,Ukraine,settlement,0,0.0,1.0
34637,4079946,巴赫季诺克,Бахтинок,巴赫季诺克,Ukraine,settlement,0,0.0,1.0
34638,4080004,巴采韦,Бацево,巴采沃,Ukraine,settlement,1,0.3333333333333333,0.5
34639,4110520,维夫西亚,Вився,维夫夏,Ukraine,settlement,2,0.5,0.4
34640,4110521,维夫西亚,Вився,维夫夏,Ukraine,settlement,2,0.5,0.4
34641,4110522,维夫切,Вивче,维夫切,Ukraine,settlement,0,0.0,1.0
34642,4110527,维夫奇齐克,Вивчицк,维夫奇茨克,Ukraine,settlement,1,0.2,0.6666666666666666
34643,4110553,维古里奇,Вигуричи,维古里奇,Ukraine,settlement,0,0.0,1.0
34644,4110569,维达瓦,Видава,维达瓦,Ukraine,settlement,0,0.0,1.0
34645,4110592,维坚,Видень,维坚,Ukraine,settlement,0,0.0,1.0
34646,4110642,维季尼夫,Видинов,维季诺夫,Ukraine,settlement,1,0.25,0.6
34647,4110655,维德尼夫,Виднев,维德涅夫,Ukraine,settlement,1,0.25,0.6
34648,4110657,维德尼夫卡,Видновка,维德诺夫卡,Ukraine,settlement,1,0.2,0.6666666666666666
34649,4110658,维德诺-索菲伊夫卡,Видно-Софиевка,维德诺·索菲耶夫卡,Ukraine,settlement,2,0.2222222222222222,0.6363636363636364
34650,4110667,维德诺日涅,Видножино,维德诺日诺,Ukraine,settlement,1,0.2,0.6666666666666666
34651,4110690,维多什尼亚,Видошня,维多什尼亚,Ukraine,settlement,0,0.0,1.0
34652,3850279,特罗斯季亚尼齐亚,Тростяница,特萝丝佳妮察,Ukraine,settlement,7,0.875,0.07692307692307693
34653,3850282,普洛斯卡诺维齐亚,Плоскановица,普洛丝卡诺维察,Ukraine,settlement,3,0.375,0.5
34654,3850288,温科韦,Винково,温科沃,Ukraine,settlement,1,0.3333333333333333,0.5
34655,3850293,布列斯季夫,Брестов,布列斯托夫,Ukraine,settlement,1,0.2,0.6666666666666666
34656,3850307,别列津卡,Березинка,别列津卡,Ukraine,settlement,0,0.0,1.0
34657,3850321,日博里夫齐,Жборовцы,日博萝夫齐,Ukraine,settlement,1,0.2,0.6666666666666666
34658,3850325,布科温卡,Буковинка,布科温卡,Ukraine,settlement,0,0.0,1.0
34659,3850327,夏斯利韦,Счастливое,夏斯特利沃耶,Ukraine,settlement,3,0.5,0.42857142857142855
34660,3850342,什库拉季夫齐,Шкуратовцы,什库拉托夫齐,Ukraine,settlement,1,0.16666666666666666,0.7142857142857143
34661,4110697,维德罗德任尼亚,Видродження,维德萝珍尼亚,Ukraine,settlement,3,0.42857142857142855,0.4444444444444444
34662,4110699,维德罗德任尼亚,Видродження,维德萝珍尼亚,Ukraine,settlement,3,0.42857142857142855,0.4444444444444444
34663,528526,博奇马尼夫卡,Бочмановка,博奇玛诺夫卡,Ukraine,settlement,2,0.3333333333333333,0.5
34664,532143,巴特法,Батфа,巴特法,Ukraine,settlement,0,0.0,1.0
34665,532575,诺韦,Новое,诺沃耶,Ukraine,settlement,2,0.6666666666666666,0.25
34666,539047,切尔克西,Черкесы,切尔克瑟,Ukraine,settlement,1,0.25,0.6
34667,540996,维什涅韦,Вишнёвое,维什尼奥沃耶,Ukraine,settlement,4,0.6666666666666666,0.25
34668,543768,巴加奇夫卡,Богачовка,博加乔夫卡,Ukraine,settlement,2,0.4,0.42857142857142855
34669,544410,科里特尼亚尼,Корытняны,科雷特尼亚内,Ukraine,settlement,2,0.3333333333333333,0.5
34670,544977,莫什尼亚吉,Мошняги,莫什尼亚吉,Ukraine,settlement,0,0.0,1.0
34671,546133,瓦里,Вары,瓦雷,Ukraine,settlement,1,0.5,0.3333333333333333
34672,547072,扎加特季亚,Загатье,扎加季耶,Ukraine,settlement,2,0.4,0.5
34673,4080833,别兹沃德涅,Безводное,别兹沃德诺耶,Ukraine,settlement,2,0.3333333333333333,0.5714285714285714
34674,4080836,别兹沃德涅,Безводное,别兹沃德诺耶,Ukraine,settlement,2,0.3333333333333333,0.5714285714285714
34675,4080837,别兹沃德涅,Безводное,别兹沃德诺耶,Ukraine,settlement,2,0.3333333333333333,0.5714285714285714
34676,4080841,别兹沃季夫卡,Безводовка,别兹沃多夫卡,Ukraine,settlement,1,0.16666666666666666,0.7142857142857143
34677,4080849,别兹吉诺韦,Безгиново,别兹吉诺沃,Ukraine,settlement,1,0.2,0.6666666666666666
34678,4080911,别济基夫,Безиков,别济科夫,Ukraine,settlement,1,0.25,0.6
34679,4080941,别兹米亚捷日涅,Безмятежное,别兹米亚捷日诺耶,Ukraine,settlement,2,0.25,0.6666666666666666
34680,4080970,别佐德尼亚,Безодня,别佐德尼亚,Ukraine,settlement,0,0.0,1.0
34681,4081008,别兹鲁基,Безруки,别兹鲁基,Ukraine,settlement,0,0.0,1.0
34682,4081020,别兹鲁基夫,Безруков,别兹鲁科夫,Ukraine,settlement,1,0.2,0.6666666666666666
34683,4081033,别兹萨利,Безсалы,别兹萨雷,Ukraine,settlement,1,0.25,0.6
34684,4075469,拜季夫卡,Байдовка,拜多夫卡,Ukraine,settlement,1,0.25,0.6
34685,4075593,拜基夫卡,Байковка,拜科夫卡,Ukraine,settlement,1,0.25,0.6
34686,4075609,拜基夫齐,Байковцы,拜科夫齐,Ukraine,settlement,1,0.25,0.6
34687,4075611,拜基夫齐,Байковцы,拜科夫齐,Ukraine,settlement,1,0.25,0.6
34688,4075627,拜马基,Баймаки,拜马基,Ukraine,settlement,0,0.0,1.0
34689,4075628,拜马基,Баймаки,拜马基,Ukraine,settlement,0,0.0,1.0
34690,4075670,拜拉克,Байрак,拜拉克,Ukraine,settlement,0,0.0,1.0
34691,4075671,拜拉克,Байрак,拜拉克,Ukraine,settlement,0,0.0,1.0
34692,4075672,拜拉克,Байрак,拜拉克,Ukraine,settlement,0,0.0,1.0
34693,4075673,拜拉克,Байрак,拜拉克,Ukraine,settlement,0,0.0,1.0
34694,3850149,利佩齐卡洛利亚纳,Липецкая Поляна,利佩茨卡亚·波利亚纳,Ukraine,settlement,4,0.4,0.5
34695,3850155,恰宾,Чабин,恰宾,Ukraine,settlement,0,0.0,1.0
34696,4081620,比拉克里尼齐亚,Белая Криница,别拉亚·克里尼察,Ukraine,settlement,5,0.625,0.5
34697,4081621,比拉克里尼齐亚,Белая Криница,别拉亚·克里尼察,Ukraine,settlement,5,0.625,0.5
34698,4081627,比拉里奇卡,Белая Речка,别拉亚·列奇卡,Ukraine,settlement,4,0.5714285714285714,0.3333333333333333
34699,4081763,比利夫,Белев,别列夫,Ukraine,settlement,2,0.6666666666666666,0.2
34700,4081771,比列韦,Белево,别列沃,Ukraine,settlement,2,0.6666666666666666,0.2
34701,4081773,比利夫西基胡托里,Белевские Хутора,别列夫斯基耶·胡托拉,Ukraine,settlement,6,0.6,0.2857142857142857
34702,4081780,别列伊夫,Белеев,别列耶夫,Ukraine,settlement,1,0.25,0.6
34703,4081787,比列伊基,Белейки,别列伊基,Ukraine,settlement,1,0.25,0.6
34704,4081788,别列卢亚,Белелуя,别列卢亚,Ukraine,settlement,0,0.0,1.0
34705,4081818,比连琴基夫卡,Беленченковка,别连琴科夫卡,Ukraine,settlement,2,0.3333333333333333,0.5
34706,4081819,比连希纳,Беленщина,别连希娜,Ukraine,settlement,2,0.5,0.3333333333333333
34707,4081838,比片克,Беленькое,别连科耶,Ukraine,settlement,4,1.0,0.0
34708,4081839,比连克,Беленькое,别连科耶,Ukraine,settlement,3,0.75,0.16666666666666666
34709,4081841,比连克佩尔舍,Беленькое Первое,别连科耶·佩尔沃耶,Ukraine,settlement,6,0.6666666666666666,0.25
34710,4081842,比连克,Беленькое,别连科耶,Ukraine,settlement,3,0.75,0.16666666666666666
34711,4087016,比里涅,Бирино,比里诺,Ukraine,settlement,1,0.3333333333333333,0.5
34712,4087025,比尔基,Бирки,比尔基,Ukraine,settlement,0,0.0,1.0
34713,4087033,比尔基夫西克,Бирковское,比尔科夫斯科耶,Ukraine,settlement,4,0.5714285714285714,0.3
34714,4087062,比尔诺索韦,Бирносово,比尔诺索沃,Ukraine,settlement,1,0.2,0.6666666666666666
34715,4111091,维克托里夫卡,Викторовка,维克托萝夫卡,Ukraine,settlement,1,0.16666666666666666,0.7142857142857143
34716,4111092,维克托里夫卡,Викторовка,维克托萝夫卡,Ukraine,settlement,1,0.16666666666666666,0.7142857142857143
34717,4111093,维克托里夫卡,Викторовка,维克托萝夫卡,Ukraine,settlement,1,0.16666666666666666,0.7142857142857143
34718,4111096,维克托罗韦,Викторово,维克托罗沃,Ukraine,settlement,1,0.2,0.6666666666666666
34719,4111102,维克托里亚尼,Викторяны,维克托里亚内,Ukraine,settlement,1,0.16666666666666666,0.7142857142857143
34720,4111124,维拉,Вила,维拉,Ukraine,settlement,0,0.0,1.0
34721,4111125,维拉,Вила,维拉,Ukraine,settlement,0,0.0,1.0
34722,4111143,维连卡,Виленка,维连卡,Ukraine,settlement,0,0.0,1.0
34723,4111145,维连卡,Вольное,沃利诺耶,Ukraine,settlement,4,1.0,0.0
34724,4111197,维利亚,Вилия,维利亚,Ukraine,settlement,0,0.0,1.0
34725,3849366,杜布里夫卡,Дубровка,杜布萝夫卡,Ukraine,settlement,1,0.2,0.6666666666666666
34726,4105812,韦德梅季夫卡,Ведмедевка,韦德梅杰夫卡,Ukraine,settlement,1,0.16666666666666666,0.7142857142857143
34727,4105813,韦德梅季夫卡,Ведмедевка,韦德梅杰夫卡,Ukraine,settlement,1,0.16666666666666666,0.7142857142857143
34728,4105814,韦德梅季夫卡,Ведмедевка,韦德梅杰夫卡,Ukraine,settlement,1,0.16666666666666666,0.7142857142857143
34729,4105817,韦德梅热,Ведмежье,韦德梅日耶,Ukraine,settlement,2,0.4,0.5
34730,4105899,韦日齐亚,Вежица,韦日察,Ukraine,settlement,2,0.5,0.4
